A dataframe generated file,Unnamed: 1,Unnamed: 2,aphh~APHH
,,,
Index,Species,Constrain,aphh~APHH
ii,TIME,0,432000
ii,TEMP,0,298
ii,LAT,0,39.9
ii,LON,0,116.3
ii,JDAY,0,173.5
ii,H2O,0,0.02
ii,PRESS,0,1013
s,SPINUP,0,1e99
O3,O3,0,0.0001333641
CO,CO,0,3.82944e-06
NO,NO,0,1.64316e-41
NO2,NO2,0,1.365901e-09
NOX,NOX,1,4.209986e-09
SO2,SO2,0,5.761958e-07
HCHO,HCHO,0,7.014704e-09
C2H6,C2H6,0,5.521571e-10
C2H4,C2H4,0,4.040021e-10
C3H8,C3H8,0,0.6966347
C3H6,C3H6,0,4.132602e-13
IC4H10,IC4H10,0,1.446483e-11
NC4H10,NC4H10,0,1.197912e-10
C2H2,C2H2,0,1.368594e-08
TBUT2ENE,TBUT2ENE,0,7.85289e-13
CBUT2ENE,CBUT2ENE,0,2.254342e-10
IC5H12,IC5H12,0,1.824962e-11
NC5H12,NC5H12,0,4.244197e-12
TPENT2ENE,TPENT2ENE,0,2.768877e-13
CPENT2ENE,CPENT2ENE,0,6.161739e-11
NC6H14,NC6H14,0,4.511461e-09
C5H8,C5H8,0,1.702468e-13
NC7H16,NC7H16,0,2.081238e-05
BENZENE,BENZENE,0,1.957235e-11
NC8H18,NC8H18,0,3.086336e-14
TOLUENE,TOLUENE,0,1.042363e-16
EBENZ,EBENZ,0,8.906911e-11
OXYL,OXYL,0,3.777838e-11
CH3CHO,CH3CHO,0,2.014778e-12
C2H5OH,C2H5OH,0,7.92351e-16
CH3COCH3,CH3COCH3,0,3.117911e-10
NC9H20,NC9H20,0,1.547917e-15
NC10H22,NC10H22,0,3.527116e-11
APINENE,APINENE,0,1.601835e-11
LIMONENE,LIMONENE,0,1.36227e-12
PXYL,PXYL,0,2.2627e-11
MXYL,MXYL,0,2.2627e-11
IPBENZ,IPBENZ,0,4.996871e-10
PBENZ,PBENZ,0,9.951142e-11
HONO,HONO,0,1.103543e-12
