A dataframe generated file,Unnamed: 1,Unnamed: 2,clfo~ClearFlo_SUMMER_2014_ClearFlo_WINTER_2014
,,,
Index,Species,Constrain,clfo~ClearFlo_SUMMER_2014_ClearFlo_WINTER_2014
ii,TIME,0,432000
ii,TEMP,0,298
ii,LAT,0,51.0
ii,JDAY,0,173.5
ii,H2O,0,0.02
ii,PRESS,0,1013
s,SPINUP,0,1e99
O3,O3,0,1.58727e-10
CO,CO,0,3.32103e-07
NO,NO,0,4.628526e-12
NO2,NO2,0,2.175289e-08
C2H6,C2H6,0,15.03212
C2H4,C2H4,0,0.08224178
C3H8,C3H8,0,0.001898104
C3H6,C3H6,0,0.01801618
IC4H10,IC4H10,0,2.584129
NC4H10,NC4H10,0,122.512
C2H2,C2H2,0,0.05478795
TBUT2ENE,TBUT2ENE,0,0.1787289
CBUT2ENE,CBUT2ENE,0,0.02659904
IC5H12,IC5H12,0,0.02133754
NC5H12,NC5H12,0,0.7496902
NC6H14,NC6H14,0,0.05705688
C5H8,C5H8,0,1.222081
NC7H16,NC7H16,0,0.0112695
BENZENE,BENZENE,0,0.011243
NC8H18,NC8H18,0,96.52897
TOLUENE,TOLUENE,0,0.002948159
EBENZ,EBENZ,0,0.003655592
OXYL,OXYL,0,0.001028674
CH3CHO,CH3CHO,0,0.05788159
C2H5OH,C2H5OH,0,1.220443
CH3COCH3,CH3COCH3,0,0.09901329
NC9H20,NC9H20,0,1.401281
NC10H22,NC10H22,0,72.56168
APINENE,APINENE,0,0.8286884
LIMONENE,LIMONENE,0,9.693798
HONO,HONO,0,8.972479e-11
PENT1ENE,PENT1ENE,0,0.002809486
MACR,MACR,0,0.001733984
MVK,MVK,0,0.1514733
NPROPOL,NPROPOL,0,8.781804
NBUTOL,NBUTOL,0,19540460.0
STYRENE,STYRENE,0,0.00213443
MEK,MEK,0,0.00142322
C3H7CHO,C3H7CHO,0,0.004709579
C4H9CHO,C4H9CHO,0,0.001306737
C5H11CHO,C5H11CHO,0,1.191916e-06
xxxx,CYHEXONE,0,6.166122e-05
BENZAL,BENZAL,0,93.79607
HNO3,HNO3,0,1.799915e-13
PAN,PAN,0,1.364591e-17
FORMALDEHYDE,HCHO,0,7.365439e-12
CH3O2,CH3O2,0,587634.8
