,0,1
0,  0,1970-06-23 12:10:00
1,  1,1970-06-23 12:50:00
2,  2,1970-06-23 13:30:00
3,  3,1970-06-23 14:10:00
4,  4,1970-06-23 14:50:00
5,  5,1970-06-23 15:30:00
6,  6,1970-06-23 16:10:00
7,  7,1970-06-23 16:50:00
8,  8,1970-06-23 17:30:00
9,  9,1970-06-23 18:10:00
10, 10,1970-06-23 18:50:00
11, 11,1970-06-23 19:30:00
12, 12,1970-06-23 20:10:00
13, 13,1970-06-23 20:50:00
14, 14,1970-06-23 21:30:00
15, 15,1970-06-23 22:10:00
16, 16,1970-06-23 22:50:00
17, 17,1970-06-23 23:30:00
18, 18,1970-06-24 00:10:00
19, 19,1970-06-24 00:50:00
20, 20,1970-06-24 01:30:00
21, 21,1970-06-24 02:10:00
22, 22,1970-06-24 02:50:00
23, 23,1970-06-24 03:30:00
24, 24,1970-06-24 04:10:00
25, 25,1970-06-24 04:50:00
26, 26,1970-06-24 05:30:00
27, 27,1970-06-24 06:10:00
28, 28,1970-06-24 06:50:00
29, 29,1970-06-24 07:30:00
30, 30,1970-06-24 08:10:00
31, 31,1970-06-24 08:50:00
32, 32,1970-06-24 09:30:00
33, 33,1970-06-24 10:10:00
34, 34,1970-06-24 10:50:00
35, 35,1970-06-24 11:30:00
36, 36,1970-06-24 12:10:00
37, 37,1970-06-24 12:50:00
38, 38,1970-06-24 13:30:00
39, 39,1970-06-24 14:10:00
40, 40,1970-06-24 14:50:00
41, 41,1970-06-24 15:30:00
42, 42,1970-06-24 16:10:00
43, 43,1970-06-24 16:50:00
44, 44,1970-06-24 17:30:00
45, 45,1970-06-24 18:10:00
46, 46,1970-06-24 18:50:00
47, 47,1970-06-24 19:30:00
48, 48,1970-06-24 20:10:00
49, 49,1970-06-24 20:50:00
50, 50,1970-06-24 21:30:00
51, 51,1970-06-24 22:10:00
52, 52,1970-06-24 22:50:00
53, 53,1970-06-24 23:30:00
54, 54,1970-06-25 00:10:00
55, 55,1970-06-25 00:50:00
56, 56,1970-06-25 01:30:00
57, 57,1970-06-25 02:10:00
58, 58,1970-06-25 02:50:00
59, 59,1970-06-25 03:30:00
60, 60,1970-06-25 04:10:00
61, 61,1970-06-25 04:50:00
62, 62,1970-06-25 05:30:00
63, 63,1970-06-25 06:10:00
64, 64,1970-06-25 06:50:00
65, 65,1970-06-25 07:30:00
66, 66,1970-06-25 08:10:00
67, 67,1970-06-25 08:50:00
68, 68,1970-06-25 09:30:00
69, 69,1970-06-25 10:10:00
70, 70,1970-06-25 10:50:00
71, 71,1970-06-25 11:30:00
72, 72,1970-06-25 12:10:00
73, 73,1970-06-25 12:50:00
74, 74,1970-06-25 13:30:00
75, 75,1970-06-25 14:10:00
76, 76,1970-06-25 14:50:00
77, 77,1970-06-25 15:30:00
78, 78,1970-06-25 16:10:00
79, 79,1970-06-25 16:50:00
80, 80,1970-06-25 17:30:00
81, 81,1970-06-25 18:10:00
82, 82,1970-06-25 18:50:00
83, 83,1970-06-25 19:30:00
84, 84,1970-06-25 20:10:00
85, 85,1970-06-25 20:50:00
86, 86,1970-06-25 21:30:00
87, 87,1970-06-25 22:10:00
88, 88,1970-06-25 22:50:00
89, 89,1970-06-25 23:30:00
90, 90,1970-06-26 00:10:00
91, 91,1970-06-26 00:50:00
92, 92,1970-06-26 01:30:00
93, 93,1970-06-26 02:10:00
94, 94,1970-06-26 02:50:00
95, 95,1970-06-26 03:30:00
96, 96,1970-06-26 04:10:00
97, 97,1970-06-26 04:50:00
98, 98,1970-06-26 05:30:00
99, 99,1970-06-26 06:10:00
100,100,1970-06-26 06:50:00
101,101,1970-06-26 07:30:00
102,102,1970-06-26 08:10:00
103,103,1970-06-26 08:50:00
104,104,1970-06-26 09:30:00
105,105,1970-06-26 10:10:00
106,106,1970-06-26 10:50:00
107,107,1970-06-26 11:30:00
