1,CH4,1,1.830000e-06
2,C2H6,1,4.287000e-09
3,C3H8,1,1.703000e-09
4,NC4H10,1,1.366000e-09
5,NC5H12,1,3.400000e-10
6,NC7H16,1,6.600000e-11
7,NC9H20,1,1.280000e-10
8,NC10H22,1,1.320000e-10
9,NC11H24,1,1.650000e-10
10,NC12H26,1,2.730000e-10
11,C2H4,1,6.380000e-10
12,C2H2,1,3.740000e-10
13,C3H6,1,1.990000e-10
14,PENT1ENE,1,2.500000e-11
15,C5H8,1,1.170000e-10
16,BENZENE,1,1.470000e-10
17,TOLUENE,1,4.810000e-10
18,OXYL,1,7.000000e-11
19,CH3CHO,1,4.301000e-09
20,C3H7CHO,1,1.300000e-11
21,MACR,1,2.400000e-11
22,C4H9CHO,1,2.300000e-11
23,C5H11CHO,1,1.900000e-11
24,CH3OH,1,3.376000e-09
25,C2H5OH,1,4.978000e-09
26,NPROPOL,1,2.520000e-10
27,CH3COCH3,1,2.405000e-09
28,MEK,1,6.400000e-11
29,CYHEXONE,1,1.700000e-11
